Rank,Common Name,Kingdom,Phylum,Class,Mirorder,Order,Parvorder,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,Subspecies
Kingdom,,Animalia,,,,,,,,,,,,,,,
Phylum,,Animalia,Chordata,,,,,,,,,,,,,,
Class,,Animalia,Chordata,Mammalia,,,,,,,,,,,,,
Mirorder,,Animalia,Chordata,Mammalia,Primatomorpha,,,,,,,,,,,,
Order,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,,,,,,,,,,,
Parvorder,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,,,,,,,,,,
Suborder,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,,,,,,,,,
Infraorder,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,,,,,,,,
Superfamily,Hominoids or apes,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,,,,,,,
Family,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,,,,,
Subfamily,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,,,,,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†H. erectus,
Subspecies,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†H. erectus,†H. e. erectus
Subspecies,Peking man,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†H. erectus,†H. e. pekinensis
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,H. erectus,
Subspecies,Solo Man,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,H. erectus,H. e. soloensis
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,H. sapiens,
Subspecies,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,H. sapiens,†H. s. idaltu
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,Homo erectus,
Species,Human,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,Homo sapiens,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†Homo antecessor,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†Homo ergaster,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†Homo floresiensis,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†Homo habilis,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†Homo heidelbergensis,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†Homo luzonensis,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,Homo,†Homo naledi,
